code,name,name_en,lat,lon,type,country
66501,崔马庄所,,36.550749,116.886917,junction,cr
34f3f0d8,莱西东所,,36.842733,120.543955,junction,cr
10008,南仓所,,39.211126,117.168402,junction,cr
66809,德州东,Dezhou E.,37.408745,116.456489,junction,cr
66876,陵县所,,37.357157,116.472546,junction,cr
14489,包头,Baotou,40.604055,109.831213,junction,cr
29318,新墩,Xindun,30.619560,114.191425,junction,cr
acf6abbb,安亭北所,,31.298858,121.232398,junction,cr
66521,黄渡所,,31.300029,121.231279,junction,cr
66523,南翔北所,,31.291749,121.264990,junction,cr
38561,新沂,Xinyi,34.382275,118.343030,junction,cr
32687,上饶,Shangrao,28.493506,118.001263,junction,cr
ad645c6d,京福所,,28.494566,118.043677,junction,cr
429e6741,双龙南,Shuanglong S.,26.485276,106.784883,junction,cr
65797,横店东,Hengdian E.,30.795155,114.331511,junction,cr
66310,仙林,Xianlin,32.125148,118.907694,junction,cr
33001,塘雅所,,29.158618,119.787356,junction,cr
17963,胶州北,Jiaozhou N.,36.396203,120.049952,junction,cr
38934,徐州东所,,34.313519,117.289908,junction,cr
66316,丹徒,Dantu,32.117424,119.515677,junction,cr
18675,荣成,Rongcheng,37.143949,122.403781,junction,cr
4d19753d,白云北,Baiyun N.,26.706559,106.658899,junction,cr
fc185e6b,尖坡所,,26.686657,106.690120,junction,cr
34114,巢湖东,Chaohu E.,31.620012,117.919911,junction,cr
21749,南阳寨,Nanyangzhai,34.815844,113.610930,junction,cr
a7e2bfc6,八达岭西所,,40.382513,115.960675,junction,cr
17601,济南东,Jinan E.,36.747458,117.153829,junction,cr
38487,董集,Dongji,34.431605,119.230811,junction,cr
1fc8fda8,新沟北所,,30.714033,113.929175,junction,cr
3f957c06,革新所,,30.693377,113.967255,junction,cr
8fdcda66,胡庄所,,31.589392,117.948045,junction,cr
5120128c,横山所,,32.148336,119.519736,junction,cr
4041effe,杭甬杭州南所,,30.140235,120.320491,junction,cr
46571,一四一所,,29.680139,106.441399,junction,cr
39422,灞桥,Baqiao,34.302124,109.054960,junction,cr
45389,阳平关,Yangpingguan,32.96855,106.03358,junction,cr
46569,歌乐山,Geleshan,29.626906,106.433423,junction,cr
46907,宜宾,Yibin,28.730862,104.630651,junction,cr
47643,宜宾西,Yibin W.,28.725814,104.603260,junction,cr
39032,西安北,Xi'an N.,34.376281,108.934406,junction,cr
30053,磨心坡,Moxinpo,29.857599,106.468817,junction,cr
28442,月山,Yueshan,35.210022,113.048827,junction,cr
27989,修文,Xiuwen,37.60667,112.71400,junction,cr
29843,安康,Ankang,32.714499,109.011320,junction,cr
40853,田王,Tianwang,34.298344,109.103497,junction,cr
30052,黄桷所,,29.829388,106.456350,junction,cr
