line_idx,sub_idx,name_zh,name_suffix,name_en,country,operator,type,speed,start,end,vias
2624,,虹安联络线,,Link Line,CN,cr,branch,250,上海虹桥,安亭北所,
2627,,虹七线,,Link Line,CN,cr,link,200,上海虹桥,七宝,
2648,,黄渡联络线,,Link Line,CN,cr,link,200,黄渡所,南翔北所,
2680,,上饶东南联络线,,Link Line,CN,cr,link,200,上饶,京福所,
2836,,秦双联络线,,Link Line,CN,cr,link,200,秦祺村所,双龙南,
2839,,井西线,,Link Line,CN,cr,branch,160,歌乐山,重庆西,
3001,1,京广高速线,京石段,Beijing-Guangzhou Highspeed Railway,CN,cr,main,350,北京西,石家庄,
3001,2,京广高速线,石武段,Beijing-Guangzhou Highspeed Railway,CN,cr,main,350,郑州东,安阳东,
3001,3,京广高速线,武广段,Beijing-Guangzhou Highspeed Railway,CN,cr,main,350,横店东,深圳北,武汉 长沙南 广州北 广州南
3002,,京沪高速线,,Beijing-Shanghai Highspeed Railway,CN,cr,main,350,北京南,上海虹桥,德州东 济南西 崔马庄所 泰安 徐州东 南京南 苏州北 黄渡所
3005,1,宁蓉线,宁汉段,Nanjing-Chengdu Railway,CN,cr,main,250,仙林,汉口,南京南 合肥南 横店东
3005,2,宁蓉线,汉渝段,Nanjing-Chengdu Railway,CN,cr,main,200,汉口,重庆北,新墩 高桥所
3007,1,京哈高速线,京沈段,Beijing-Harbin Highspeed Railway,CN,cr,main,350,北京朝阳,姚家窝堡所,承德南
3007,2,京哈高速线,沈哈段,Beijing-Harbin Highspeed Railway,CN,cr,main,300,沈阳北,哈尔滨,四平东 崔家营子所
3008,1,沪昆高速线,沪赣段,Shanghai-Kunming Highspeed Railway,CN,cr,main,350,上海虹桥,新余北,春申所 上海松江 嘉兴南 笕桥所 杭州东 杭州南 诸暨 塘雅所 衢州 京福所 新余北
3008,2,沪昆高速线,赣湘段,Shanghai-Kunming Highspeed Railway,CN,cr,main,350,宜春,怀化南,长沙南 湘潭北
3008,3,沪昆高速线,贵昆段,Shanghai-Kunming Highspeed Railway,CN,cr,main,300,贵阳北,昆明南,贵安
3009,1,杭深线,杭甬段,Hangzhou-Shenzhen Railway,CN,cr,main,300,杭州东,宁波,杭甬杭州南所 绍兴北
3009,2,杭深线,甬深段,Hangzhou-Shenzhen Railway,CN,cr,main,250,宁波,深圳北,温州北 温州南 福州南 泉州 厦门北 前场 漳州 惠阳
3010,,京津城际线,,Beijing-Tianjin Intercity ,CN,cr,main,350,北京南,天津,南仓所
3011,,胶济客运专线,,Qingdao-Jinan Passenger Railway,CN,cr,main,200,济南,青岛北,大明湖 淄博 胶州北
3012,,石太客运专线,,Shijiazhuang-Taiyuan Passenger Railway,CN,cr,main,250,石家庄北,太原南,太原
3013,1,徐兰高速线,郑徐段,Xuzhou-Lanzhou Highspeed Railway,CN,cr,main,300,徐州东所,郑州东,
3013,2,徐兰高速线,郑西段,Xuzhou-Lanzhou Highspeed Railway,CN,cr,main,300,郑州东,西安北,洛阳龙门
3013,3,徐兰高速线,西兰段,Xuzhou-Lanzhou Highspeed Railway,CN,cr,main,250,西安北,兰州西,天水南
3014,,新成灌线,,New Chengdu-Dujiangyan Railway,CN,cr,branch,200,犀浦,都江堰,
3015,,沪宁城际线,,Shanghai-Nanjing Intercity Railway,CN,cr,main,300,上海,南京,上海西 南翔北所 安亭北所 苏州园区 苏州 苏州新区 无锡新区 常州 丹徒 镇江 仙林
3018,,海南东环高速线,,Hainan East Ring Highspeed Railway,CN,cr,main,250,城西,三亚,海口东 美兰
3019,,沈大高速线,,Shenyang-Dalian Highspeed Railway,CN,cr,main,300,沈阳北,大连北,沈阳南
3020,,长珲城际线,,Changchun-Hunchun Intercity Railway,CN,cr,main,200,杨家粉坊所,敦化,长春 龙嘉 吉林
3021,,广深港高速线,,Guangzhou-Shenzhen-HK Highspeed Railway,CN,cr,branch,250,福田,香港西九龙,
3022,,津霸线,,Tianjin-Bazhou Railway,CN,cr,main,250,天津西,霸州西,胜芳
3023,,津秦高速线,,Tianjin-Qinhuangdao Highspeed Railway,CN,cr,main,300,龙家营,天津西,秦皇岛 北戴河 唐山 天津
3026,,宁杭高速线,,Nanjing-Hangzhou Highspeed Railway,CN,cr,main,300,南京南,杭州东,溧水 湖州
3029,,南广线,,Nanning-Guangzhou Railway,CN,cr,main,250,佛山西,广州南,
3032,,兰新客运专线,,Lanzhou-Xinjiang Passenger Railway,CN,cr,main,250,兰州西,海东西,
3038,1,青荣城际线,青烟段,Qingdao-Rongcheng Intercity Railway,CN,cr,main,250,莱西,西陌堂所,
3038,2,青荣城际线,威荣段,Qingdao-Rongcheng Intercity Railway,CN,cr,main,250,威海,荣成,
3040,1,西成客运专线,陕西段,Xi'an-Chengdu Passenger Railway,CN,cr,main,250,西安北,汉中,
3040,2,西成客运专线,四川段,Xi'an-Chengdu Passenger Railway,CN,cr,main,250,广汉北,成都东,青白江东
3041,1,成贵客运专线,成都段,Chengdu-Guiyang Passenger Railway,CN,cr,main,300,成都东,双流机场,成都南
3041,2,成贵客运专线,乐宜段,Chengdu-Guiyang Passenger Railway,CN,cr,main,300,乐山,宜宾西,
3041,3,成贵客运专线,贵阳段,Chengdu-Guiyang Passenger Railway,CN,cr,main,300,白云北,尖坡所,
3042,,峨眉山线,,Chengdu-Guiyang Passenger Railway Emeishan Branch,CN,cr,branch,200,乐山,峨眉山,
3043,,杭昌高速线,,Hangzhou-Nanchang Highspeed Railway,CN,cr,main,250,桐庐,黄山北,绩溪北
3045,,沈丹客专线,,Shenyang-Dandong Passenger Railway,CN,cr,main,250,沈阳南,丹东,
3047,1,合福高速线,合黄段,Hefei-Fuzhou Highspeed Railway,CN,cr,main,300,合肥南,黄山北,巢湖东 绩溪北
3047,2,合福高速线,饶福段,Hefei-Fuzhou Highspeed Railway,CN,cr,main,300,上饶,福州,
3048,,渝贵线,,Chongqing-Guiyang Railway,CN,cr,main,120,贵阳北,贵阳,
3049,,郑太客运专线,,Zhengzhou-Taiyuan Passenger Railway,CN,cr,main,250,南阳寨,焦作,
3050,,郑开城际线,,Zhengzhou-Kaifeng Intercity Railway,CN,cr,branch,200,郑州东,开封,
3051,,成渝高速线,,Chengdu-Chongqing Highspeed Railway,CN,cr,main,350,资阳北,沙坪坝,
3054,,丹大线,,Dandong-Dalian Railway,CN,cr,main,200,丹东,大连北,
3056,,南昆客运专线,,Nanning-Kunming Passenger Railway,CN,cr,main,250,昆明,南宁,昆明南
3058,,金温线,,Jinhua-Wenzhou Railway,CN,cr,main,200,塘雅所,温州南,
3059,,海南西环高速线,,Hainan West Ring Highspeed Railway,CN,cr,main,200,崖州,三亚,凤凰机场
3065,,湘潭城际线,,Changsha-Zhuzhou-Xiangtan Intercity Railway,CN,cr,branch,160,长沙,湘潭,
3066,1,京包客运专线,京呼段,Beijing-Baotou Highspeed Railway,CN,cr,main,250,北京北,呼和浩特,清河 昌平 八达岭长城 八达岭西所 张家口 乌兰察布 呼和浩特东 
3066,2,京包客运专线,呼包段,Beijing-Baotou Passenger Railway,CN,cr,main,200,台阁牧,包头,
3067,,石济客运专线,,Shijiazhuang-Jinan Passenger Railway,CN,cr,main,250,陵县所,济南东,
3068,,长沙西城际线,,Changsha-Zhuzhou-Xiangtan Intercity Railway,CN,cr,branch,160,长沙,长沙西,开福寺 谷山
3072,,新通客运专线,,Xinmin-Tongliao Passenger Railway,CN,cr,main,250,田家窝堡所,通辽,
3073,,哈牡客运专线,,Harbin-Mudanjiang Passenger Railway,CN,cr,main,250,哈尔滨,牡丹江,横道河子东
3076,,成雅线,,Chengdu-Yaan Railway,CN,cr,main,200,成都西,雅安,
3077,,济青高速线,,Jinan-Qingdao Highspeed Railway,CN,cr,main,300,济南东,青岛北,胶州北
3079,,青盐线,,Qingdao-Yancheng Railway,CN,cr,main,200,连云港,董集,
3082,,武汉枢纽直通线,,Link Line,CN,cr,link,250,革新所,走马岭所,
3083,,徐盐高速线,,Xuzhou-Yancheng Highspeed Railway,CN,cr,main,250,徐州东,盐城,宿迁 淮安东
3085,,京雄城际线,,Beijing-Xiong'an Intercity Railway,CN,cr,main,300,北京西,雄安,北京大兴 大兴机场 固安东 霸州北
3089,,连镇高速线,,Lianyungang-Zhenjiang Highspeed Railway,CN,cr,main,250,董集,丹徒,淮安东 扬州东 横山所
3094,,贵阳环线,,Guiyang Loop Railway,CN,cr,branch,200,白云北,双龙南,贵安 花溪大学城
3096,,合杭高速线,,Hefei-Hangzhou Highspeed Railway,CN,cr,main,300,胡庄所,桐庐东,芜湖 芜湖南 湖州 妙西镇所 杭州西
3098,,沪苏通线,,Shanghai-Suzhou-Nantong Railway,CN,cr,main,200,黄渡,南通西,陆渡所 太仓 常熟 张家港
3102,,潍荣高速线,,Weifang-Rongcheng Highspeed Railway,CN,cr,main,350,莱西东所,荣成,
3105,1,沈佳高速线,沈白段,Shenyang-Jiamusi Highspeed Railway,CN,cr,main,350,沈阳北,抚顺,
3105,2,沈佳高速线,敦白段,Shenyang-Jiamusi Highspeed Railway,CN,cr,main,250,长白山,敦化南,
3112,,京唐城际线,,Beijing-Tangshan Intercity Railway,CN,cr,main,300,北京通州,香河,北刘各庄所 燕郊
3136,,沪渝蓉高速线,,Yangtze River Highspeed Railway,CN,cr,main,350,新沟北所,宜昌北,
6452,,阜阳西联络线,,Link Line,CN,cr,main,160,阜阳,阜阳北,
6618,,杭甬联络线,,Link Line,CN,cr,link,250,杭州南,杭甬杭州南所,
6627,,徐州联络线,,Link Line,CN,cr,link,250,徐州东,徐州东所,
6641,,巢湖东南联络线,,Link Line,CN,cr,link,200,巢湖东,胡庄所,
6817,,成贵贵阳北联络线,,Link Line,CN,cr,link,200,尖坡所,贵阳北,
7357,,延庆线,,Yanqing Branch Railway,CN,cr,branch,160,八达岭西所,延庆,
7457,,新沟北联络线,,Link Line,CN,cr,link,250,新沟北所,革新所,
7653,,镇江联络线,,Link Line,CN,cr,branch,200,镇江,横山所,
